grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-00235,40.99985,68.76071,124,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00236,41.00987,68.77666,249,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00237,41.00833,68.76482,189,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00238,40.98982,68.74477,73,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00239,40.97054,68.77976,60,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00240,40.98056,68.7957,122,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00241,40.97902,68.78387,719,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00242,40.96513,68.7993,177,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00243,40.97361,68.80342,48,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00244,40.97208,68.79159,486,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00245,40.95897,68.75199,248,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00246,40.969,68.76793,226,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00247,40.96746,68.7561,592,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00248,40.95357,68.77154,63,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00249,40.95203,68.75971,768,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00250,40.96205,68.77565,50,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00251,40.96051,68.76382,1122,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00252,41.00447,68.79622,175,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00253,40.98904,68.79982,27,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00254,40.9875,68.78799,656,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
