issue_id,issue_type,duplicate_group_id,object_id_1,object_id_2,distance_m,details,status
QI-a6022d3ea6aa,Без названия и адреса,,PHARM-a1e18d6490eb,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-8e01dd88859a,Без названия и адреса,,PHARM-43ed03b6bae0,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-6faa132e6f0c,Без названия и адреса,,PHARM-68adb2fc5a0a,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-cbd4fcda8f08,Без названия и адреса,,PHARM-b0daf01095db,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-a66df9317a17,Без названия и адреса,,PHARM-aaed7167368b,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-842bb041957c,Без названия и адреса,,PHARM-2d7fd34af51d,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-b1b517ebc7ad,Без названия и адреса,,PHARM-fc0a70a91455,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-0f4dd53b8870,Без названия и адреса,,PHARM-7e6bd4238800,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-92aa2da61c38,Без названия и адреса,,PHARM-8f3df1ab8ed3,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-0106924ecfa9,Без названия и адреса,,PHARM-00c7d09b74fa,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-7da955232643,Без названия и адреса,,PHARM-3e5d1ce917d5,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-50a7dcd418c9,Без названия и адреса,,PHARM-7c1912f49ddb,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-a0d3787576d5,Без названия и адреса,,PHARM-17208a966da8,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-b6904e26fb79,Без названия и адреса,,PHARM-02f477a1482a,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-f8085ee57f01,Без названия и адреса,,PHARM-102a319f8b02,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-d5fee55fa2b6,Без названия и адреса,,PHARM-76939ce4221d,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-17351c8fc107,Без названия и адреса,,PHARM-70930e3fc2ff,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-eeab10f48d19,Без названия и адреса,,PHARM-6670db213b1a,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-2ba829be10b2,Без названия и адреса,,PHARM-b2a06007a8f3,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-eedf87158e7f,Без названия и адреса,,PHARM-43840b0c126e,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-1917c5229c02,Без названия и адреса,,PHARM-bd3c0b839d2a,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-6f3bf0450745,Без названия и адреса,,PHARM-dcb768cd9218,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-feff82bb8b12,Без названия и адреса,,PHARM-c4dccc56a4c4,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-da1ba11e44d1,Без названия и адреса,,PHARM-cf65301b1811,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-43f3e35684de,Без названия и адреса,,PHARM-8fb11c57187b,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-667331fe94ca,Без названия и адреса,,PHARM-46af58cd9ac6,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-5a1c4f53904b,Без названия и адреса,,PHARM-d51565ddcc83,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-29a2a696efc2,Без названия и адреса,,PHARM-d4f5db0b3a93,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-f6ec140a2ff3,Без названия и адреса,,PHARM-fd712a045528,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-61e2be3cbb52,Без названия и адреса,,PHARM-2467090feb4c,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-2c3c5966bb26,Без названия и адреса,,PHARM-b6a9a264a9dc,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-ca7501645ee4,Без названия и адреса,,PHARM-268174dea3d8,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-81437719ff14,Без названия и адреса,,PHARM-ce3d228fac6b,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-5a24447ee07a,Без названия и адреса,,PHARM-20b06ba753f1,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-8248b737abd1,Без названия и адреса,,PHARM-66a7d1b787ff,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-48e7a5b22642,Без названия и адреса,,PHARM-c6bbb88fb34a,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-6ac7de9ba83b,Без названия и адреса,,PHARM-088211579cd1,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-604b04054eda,Без названия и адреса,,PHARM-253da50843b2,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-2b2fa54aded7,Без названия и адреса,,PHARM-08f5dc760906,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-1b9542a6ff43,Без названия и адреса,,PHARM-e48e4065172a,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-789e91b0b965,Без названия и адреса,,PHARM-c311cfff8975,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-a12969e92734,Без названия и адреса,,PHARM-4803f0d963b9,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-d88d51e51d96,Без названия и адреса,,PHARM-5fc06669bd73,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-ab0b503a2a4c,Без названия и адреса,,PHARM-b25a8f9ae5ec,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-63ec2eb2acbd,Без названия и адреса,,PHARM-a1802c20efa8,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-899b4b61b9dc,Без названия и адреса,,PHARM-f690ad75e5d3,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-4df212869bfc,Без названия и адреса,,PHARM-68fcd567865b,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-3a4bc82017bf,Без названия и адреса,,PHARM-7f6a9028c9a8,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
